LOCATION
INFN-T1_DATADISK
IN2P3-LPC_DATADISK
PIC_DATATAPE
UPENN_LOCALGROUPDISK
CA-ALBERTA-WESTGRID-T2_HOTDISK
UKI-LT2-BRUNEL_HOTDISK
CA-ALBERTA-WESTGRID-T2_PRODDISK
CA-ALBERTA-WESTGRID-T2_SCRATCHDISK
SLACXRD_LOCALGROUPDISK
SLACXRD_SCRATCHDISK
NET2_LOCALGROUPDISK
INFN-NAPOLI-ATLAS_TRIG-DAQ
UTD_PRODDISK
TOKYO-LCG2_PHYS-HIGGS
UKI-LT2-QMUL_PHYS-TOP
GRIF-IRFU_PRODDISK
CERN-PROD_OLDSCRATCHDISK
UKI-NORTHGRID-SHEF-HEP_HOTDISK
INFN-T1_DATATAPE
UNI-FREIBURG_PERF-TAU
ITEP_HOTDISK
CERN-PROD_PERF-TAU
NDGF-T1_PHYS-SUSY
TRIUMF-LCG2_PERF-TAU
MPPMU_PERF-MUONS
MWT2_UC_LOCALGROUPDISK
GRIF-LPNHE_LOCALGROUPDISK
SWT2_CPB_USERDISK
INFN-ROMA1_PRODDISK
TRIUMF-LCG2_DATADISK
LRZ-LMU_DATADISK
IN2P3-LAPP_SCRATCHDISK
CERN-PROD_PHYS-GENER
TAIWAN-LCG2_SCRATCHDISK
LRZ-LMU_LOCALGROUPDISK
LRZ-LMU_PRODDISK
UKI-SCOTGRID-ECDF_SCRATCHDISK
CERN-PROD_PHYS-SM
INFN-ROMA3_LOCALGROUPDISK
IN2P3-CC_HOTDISK
UNI-SIEGEN-HEP_SCRATCHDISK
UKI-SCOTGRID-GLASGOW_LOCALGROUPDISK
WUPPERTALPROD_PHYS-GENER
UKI-SCOTGRID-GLASGOW_HOTDISK
UKI-SCOTGRID-GLASGOW_DATADISK
NCG-INGRID-PT_HOTDISK
AGLT2_LOCALGROUPDISK
RU-PNPI_PRODDISK
FZK-LCG2_HOTDISK
BEIJING-LCG2_DATADISK
DESY-ZN_LOCALGROUPDISK
TAIWAN-LCG2_HOTDISK
SWT2_CPB_PERF-EGAMMA
CA-ALBERTA-WESTGRID-T2_DATADISK
TUDRESDEN-ZIH_DATADISK
TUDRESDEN-ZIH_SCRATCHDISK
TUDRESDEN-ZIH_PRODDISK
TUDRESDEN-ZIH_LOCALGROUPDISK
SLACXRD_PERF-IDTRACKING
SLACXRD_PERF-JETS
GRIF-LAL_SCRATCHDISK
SFU-LCG2_LOCALGROUPDISK
CYFRONET-LCG2_HOTDISK
RRC-KI_LOCALGROUPDISK
RU-MOSCOW-FIAN-LCG2_HOTDISK
RU-PNPI_SCRATCHDISK
TOKYO-LCG2_TRIG-DAQ
UKI-LT2-QMUL_HOTDISK
UKI-SOUTHGRID-OX-HEP_DATADISK
IN2P3-CC_PERF-MUONS
WEIZMANN-LCG2_HOTDISK
INFN-T1_MCTAPE
NDGF-T1_DATADISK
AGLT2_PHYS-SM
NET2_PHYS-TOP
SWT2_CPB_PHYS-SUSY
AUSTRALIA-ATLAS_PHYS-SM
MWT2_UC_PHYS-HIGGS
AGLT2_PERF-MUONS
AGLT2_TRIG-DAQ
SWT2_CPB_PHYS-TOP
PIC_PHYS-SM
NET2_PERF-MUONS
INFN-ROMA3_SCRATCHDISK
EELA-UTFSM_DATADISK
NDGF-T1_PHYS-GENER
UKI-NORTHGRID-MAN-HEP_SOFT-TEST
CSCS-LCG2_PERF-EGAMMA
NIKHEF-ELPROD_DATADISK
PRAGUELCG2_DATADISK
TR-10-ULAKBIM_PRODDISK
INFN-T1_SCRATCHDISK
DESY-ZN_HOTDISK
RO-07-NIPNE_PRODDISK
RO-16-UAIC_HOTDISK
RO-16-UAIC_PRODDISK
UKI-LT2-RHUL_SOFT-TEST
IN2P3-LPC_PHYS-TOP
ILLINOISHEP_PRODDISK
MPPMU_CALIBDISK
DESY-ZN_PHYS-TOP
TOKYO-LCG2_PERF-JETS
LRZ-LMU_SCRATCHDISK
AUSTRALIA-ATLAS_DATADISK
CERN-PROD_PHYS-HI
TOKYO-LCG2_DATADISK
IN2P3-LAPP_DATADISK
NIKHEF-ELPROD_PHYS-HIGGS
UNI-SIEGEN-HEP_LOCALGROUPDISK
