NBDATASETS	PROJECT	STREAM	PRODSTEP	DATATYPE	PROVENANCE	IDTOGROUP(GROUPID)	MEANNBFILES	MEANFILESIZE	ROUND(SUM(REPLICAS)/COUNT(*))
22	data12_8TeV	physics_L1Muon	merge	NTUP_TRIG	T0	/atlas/role=production	2	452970042	1
429	data12_8TeV	physics_Egamma	merge	NTUP_TAUFULL	GP	/atlas/perf-tau/role=production	14	13579712229	1
7	data12_8TeV	calibration_L1CaloCalib	daq	RAW	T0	/atlas/role=production	901	897815006137	2
124	data12_8TeV	physics_CosmicCalo	merge	NTUP_LARNOISE	GP	/atlas/role=production	21	215034297	1
103	data12_8TeV	physics_JetCalibDelayed	merge	RAW	T0	/atlas/role=production	366	215725963035	2
245	data12_8TeV	physics_Standby	merge	AOD	AP	/atlas/role=production	5	27229507172	4
90	data12_8TeV	debugrec_hltrej	merge	NTUP_SMQCD	GP	/atlas/phys-sm/role=production	1	20033023	1
294	data12_8TeV	physics_Muons	merge	DAOD_ZMUMUGAMMA	GP	/atlas/phys-higgs/role=production	5	16794167282	2
17	data12_8TeV	express_express	merge	log	GP	/atlas/det-larg/role=production	1	216361117	1
649	data12_8TeV	physics_JetTauEtmiss	merge	log	GP	/atlas/phys-top/role=production	1453	25232231018	1
21	data12_8TeV	physics_L1Muon	merge	RAW	T0	/atlas/role=production	88	8438357158	2
26	data12_8TeV	debugrec_crashed	merge	NTUP_SMQCD	GP	/atlas/phys-sm/role=production	1	1320934	1
55	data12_8TeV	physics_Egamma	merge	NTUP_HSG5WH	GP	/atlas/phys-higgs/role=production	76	29998000035	1
28	data12_8TeV	calibration_ALFACalib	daq	RAW	T0	/atlas/role=production	7883	210719640977	1
4	data12_8TeV	Pythia8_AU2CT10_jetjet_JZ0W	merge	NTUP_TRIGBJET	GP	/atlas/trig-daq/role=production	75	124049611174	1
57	data12_8TeV	physics_Muons	merge	NTUP_HSG5ZHLLU	GP	/atlas/phys-higgs/role=production	63	9356096807	1
17	data12_8TeV	calibration_VdM	merge	TAG	T0	/atlas/role=production	8	3326977868	1
17	data12_8TeV	calibration_VdM	recon	ESD	T0	/atlas/role=production	2717	6913310401877	1
2	data12_8TeV	physics_Egamma	merge	NTUP_TOP	GP	/atlas/phys-susy/role=production	142	213524578472	1
2	data12_8TeV	physics_Muons	merge	NTUP_SMWZ	GP	/atlas/phys-susy/role=production	145	289226588477	1
2	data12_8TeV	physics_Egamma	merge	NTUP_PHOTON	GP	/atlas/phys-susy/role=production	142	239312983299	1
2	data12_8TeV	physics_Muons	merge	NTUP_JETMET	GP	/atlas/phys-susy/role=production	145	312429877576	1
2	data12_8TeV	physics_JetTauEtmiss	merge	NTUP_JETMET	GP	/atlas/phys-susy/role=production	166	487014938064	1
79	data12_8TeV	debugrec_hltrej	merge	NTUP_HSG2	GP	/atlas/phys-higgs/role=production	1	24773572	1
242	data12_8TeV	physics_Muons	merge	DESDM_RPVLL	AP	/atlas/role=production	33	155834933628	4
238	data12_8TeV	physics_Egamma	merge	DESD_SGLEL	AP	/atlas/role=production	34	162517952789	4
5	data12_8TeV	physics_HadDelayed	merge	AOD	T0	/atlas/role=production	208	525921845548	3
5	data12_8TeV	Zee_1tightPP	merge	log	GP	/atlas/trig-hlt/role=production	7	3171418	1
2	data12_8TeV	Zee_1tightPP	merge	HIST	GP	/atlas/trig-hlt/role=production	2	215864576	2
1	data12_8TeV	Zee_1tightPP	recon	NTUP_MUONCALIB	GP	/atlas/trig-hlt/role=production	228	1282409902	1
3	data12_8TeV	physics_ZeroBiasOverlay	merge	TAG	T0	/atlas/role=production	1	15347024	1
1	data12_8TeV	physics_L1Calo	recon	NTUP_TRIGCOSTEF	GP	/atlas/role=production	609	1565443370	1
227	data12_8TeV	physics_MinBias	recon	HIST	AP	/atlas/role=production	438	19237113539	1
184	data12_8TeV	physics_Background	recon	HIST	AP	/atlas/role=production	526	21861484890	1
244	data12_8TeV	physics_Muons	recon	HIST	AP	/atlas/role=production	2755	117255600984	1
129	data12_8TeV	debugrec_hltacc	recon	log	AP	/atlas/role=production	1	1905827	1
249	data12_8TeV	physics_JetTauEtmiss	recon	DESDM_RPVLL	AP	/atlas/role=production	2680	364821196184	1
1	data12_8TeV	calibration_ALFACalib	daq	RAW	T0	/atlas/role=production	27893	738974347160	1
3	data12_8TeV	physics_JetTauEtmiss	recon	DESDM_MET	AP	/atlas/role=production	6775	716549254824	1
2	data12_8TeV	physics_HadDelayed	recon	TAG	AP	/atlas/role=production	3938	1378304813	1
1	data12_8TeV	physics_Bphysics	recon	ESD	AP	/atlas/role=production	3875	7394863003207	1
1	data12_8TeV	physics_Muons	recon	NTUP_SCT	GP	/atlas/role=production	6353	8499787141810	1
2	data12_8TeV	physics_L1MinBias	merge	HIST	T0	/atlas/role=production	1	49579607	2
1	data12_8TeV	physics_Egamma	merge	log	GP	/atlas/phys-exotics/role=production	2	9031512231	1
18	data12_8TeV	debugrec_hltrej	merge	NTUP_TOP	GP	/atlas/phys-top/role=production	1	4203967	1
2	data12_8TeV	debugrec_hltacc	merge	NTUP_HSG2	GP	/atlas/phys-sm/role=production	1	3582548	1
3	data12_8TeV	physics_EnhancedBias	merge	AOD	T0	/atlas/role=production	59	195001097882	3
1	data12_8TeV	physics_EnhancedBias	merge	AOD	GP	/atlas/role=production	29	159996957099	3
3	data12_8TeV	physics_jetcalibddelayed	merge	RAW	T0	/atlas/role=production	217	29876864290	2
3	data12_8TeV	physics_jetcalibddelayed	merge	HIST	T0	/atlas/role=production	1	105276283	2
2	data12_8TeV	physics_L1Muon	merge	RAW	T0	/atlas/role=production	200	77751710244	2
2	data12_8TeV	debugrec_crashed	merge	NTUP_TOP	GP	/atlas/phys-top/role=production	1	2753037	2
153	data12_8TeV	physics_ZeroBias	merge	NTUP_TRIG	GP	/atlas/trig-daq/role=production	17	382062001	2
2	data12_8TeV	physics_L1Muon	merge	NTUP_TRIG	T0	/atlas/role=production	7	2209810141	1
27	data12_8TeV	physics_MinBias	recon	AOD	AP	/atlas/role=production	1066	87545102877	1
227	data12_8TeV	physics_Egamma	merge	NTUP_EGCWENU	GP	/atlas/perf-egamma/role=production	25	194617252	4
1	data12_8TeV	physics_Egamma	merge	NTUP_MYSKIMNTUP	GP	/atlas/phys-exotics/role=production	63	37432743	2
1	data12_8TeV	physics_JetTauEtmiss	merge	NTUP_MYSKIMNTUP	GP	/atlas/phys-exotics/role=production	74	115528471	1
1	data12_8TeV	physics_JetTauEtmiss	merge	NTUP_SCT	GP	/atlas/det-indet/role=production	7338	4577425424900	3
906	data12_8TeV	physics_JetCalibDelayed	merge	log	AP	/atlas/role=production	23	14072706	1
258	data12_8TeV	physics_MinBias	merge	NTUP_JETMET	GP	/atlas/perf-jets/role=production	3	18954264637	3
74	data12_8TeV	physics_Egamma	merge	AOD	T0	/atlas/role=production	278	679388217257	6
479	data12_8TeV	physics_Muons	recon	log	AP	/atlas/role=production	1478	4293851228	1
1978	data12_8TeV	physics_CosmicCalo	merge	log	AP	/atlas/role=production	5	2284276	1
362	data12_8TeV	physics_CosmicCalo	merge	HIST	T0	/atlas/role=production	1	185682190	2
170	data12_8TeV	calibration_LArCellsEmpty	daq	RAW	T0	/atlas/role=production	65	7224349669	1
350	data12_8TeV	physics_JetTauEtmiss	merge	log	GP	/atlas/phys-susy/role=production	160	2285651410	1
431	data12_8TeV	physics_ZeroBias	merge	HIST	T0	/atlas/role=production	1	152498182	2
